	Pt	T	Vf	Vm	Ach	Over	
	#	s	V vs. Ref.	V	V	bits	
	389	393.25	-1.85E-01	-1.85E-01	0.00E+00	...........	
	390	394.258	-1.85E-01	-1.85E-01	0.00E+00	...........	
	391	395.267	-1.85E-01	-1.85E-01	0.00E+00	...........	
	392	396.275	-1.85E-01	-1.85E-01	0.00E+00	...........	
	393	397.283	-1.85E-01	-1.85E-01	0.00E+00	...........	
	394	398.292	-1.85E-01	-1.85E-01	0.00E+00	...........	
	395	399.3	-1.85E-01	-1.85E-01	0.00E+00	...........	
	396	400.308	-1.85E-01	-1.85E-01	0.00E+00	...........	
	397	401.317	-1.85E-01	-1.85E-01	0.00E+00	...........	
	398	402.325	-1.85E-01	-1.85E-01	0.00E+00	...........	
	399	403.333	-1.85E-01	-1.85E-01	0.00E+00	...........	
	400	404.342	-1.85E-01	-1.85E-01	0.00E+00	...........	
	401	405.35	-1.85E-01	-1.85E-01	0.00E+00	...........	
